"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000185885",1018.65248580566,3.30770581694545,0.522001099848551,6.33658783076343,2.34909295292916e-10,5.42323027132997e-08
"ENSG00000123609",61.3290945865483,2.61799552903053,0.414379571189964,6.31786823253012,2.65195976980405e-10,6.04081076097766e-08
"ENSG00000184979",378.491315948998,2.91104572089841,0.46254543034845,6.29353471010497,3.10317077323256e-10,6.97560124867171e-08
"ENSG00000277511",73.5860324349393,2.02935735250967,0.325698854726715,6.2307782881596,4.64123568690073e-10,1.02975156461055e-07
"ENSG00000130813",1051.26833134731,2.63217386980733,0.4268233365321,6.16689305508339,6.96448254027979e-10,1.52540025279667e-07
"ENSG00000175197",398.135650043571,0.872184546864785,0.142162426134494,6.1351270555811,8.50911598803667e-10,1.84012325999517e-07
"ENSG00000133106",156.116927060672,4.15771000456045,0.678251357618144,6.13004302587956,8.78553104287582e-10,1.87615015420613e-07
"ENSG00000166450",686.38525011863,-0.758170563943236,0.123844418487066,-6.12195990102223,9.24312882344956e-10,1.94950139283719e-07
"ENSG00000173193",2011.08778677386,2.80025447241687,0.457768462131339,6.11718522368071,9.52426422975536e-10,1.98429914757488e-07
"ENSG00000100342",33.9286356929038,3.48837109850832,0.571782326739161,6.10087254428146,1.05491003287428e-09,2.1713353014005e-07
"ENSG00000163565",561.501943320565,2.35608947291369,0.388194316674685,6.06935591715048,1.28424249431402e-09,2.61190461581676e-07
"ENSG00000204642",238.391905307961,4.47257166609231,0.741237234753217,6.03392740730488,1.60021972182263e-09,3.21625337971974e-07
"ENSG00000168003",4464.81805839508,0.856939079712348,0.144352852591972,5.93641943560736,2.9131396234258e-09,5.78698573565191e-07
"ENSG00000124201",2354.6060656061,0.808204495109789,0.136650145271309,5.91440640992485,3.33074557352588e-09,6.5405123423122e-07
"ENSG00000171551",1755.41147880455,-0.738555211007513,0.127555510044061,-5.79006905113231,7.03574936508149e-09,1.36589479719377e-06
"ENSG00000204261",50.7577143459392,2.9350398230991,0.513462173724335,5.71617535486626,1.08948312311612e-08,2.09131794104672e-06
"ENSG00000134245",757.459901019045,-0.587048395922779,0.102794156479247,-5.71091213770793,1.12372253286566e-08,2.13307508349744e-06
"ENSG00000185022",261.889244287946,0.981730552308496,0.172210977428851,5.70074316379801,1.19286243882551e-08,2.23943537416428e-06
"ENSG00000095370",1966.79968346262,0.702458638300362,0.123549813182161,5.68563092252241,1.30330593313098e-08,2.42018245234887e-06
"ENSG00000125148",94.0253152482543,1.65778461885193,0.292133845768502,5.67474341937642,1.38896681661464e-08,2.55151710699403e-06
"ENSG00000175928",5691.03056596448,-0.403182133876245,0.0716772333925741,-5.62496785650234,1.85542520712429e-08,3.37213662111822e-06
"ENSG00000132530",186.786054947508,5.21730559881909,0.929920257139738,5.61048709151315,2.01757922366625e-08,3.62824457443307e-06
"ENSG00000084754",4338.95464373592,-0.358732974458023,0.0639874560946528,-5.6063015527195,2.066957156694e-08,3.67832250676671e-06
"ENSG00000125826",2446.1689187413,0.621910960227887,0.11150937731367,5.57720772198814,2.4440995475208e-08,4.30463883194281e-06
"ENSG00000206190",83.5264875152928,1.92875405784703,0.346003295847366,5.57438059404459,2.48412119525253e-08,4.33048229588716e-06
"ENSG00000131747",8039.51334219281,-0.58000850024576,0.105175058893122,-5.51469622503525,3.49382898213591e-08,6.02914892230404e-06
"ENSG00000240065",176.350640814265,4.11789769125153,0.751709898191007,5.47804106499232,4.30060339643966e-08,7.34715084247752e-06
